N,h,L2_error,EOC_L2,H1_error,EOC_H1,Condition_Number
8,0.125,0.000160509777589748,N/A,0.03732442061101023,N/A,36.51132043185889
16,0.0625,3.8307772326327144e-05,2.066952145313009,0.014400647000052249,1.3739862341945497,156.65060476269934
32,0.03125,9.46870622485644e-06,2.0163979137738726,0.005306294252391548,1.4403570459728423,650.5558186413787
64,0.015625,2.3604897694848986e-06,2.0040810834869043,0.0019144345939933686,1.4707863083760986,2652.715504811401
128,0.0078125,5.897057044626808e-07,2.0010191751071944,0.0006836797541989173,1.4855257632876506,10714.251118531924
256,0.00390625,1.4740039775837623e-07,2.000254732466976,0.00024292763450769767,1.4927940887300364,43066.0854724023
