N,h,L2_error,EOC_L2,H1_error,EOC_H1,Cond
8,0.125,0.06141324473902891,N/A,0.7877954437843463,N/A,14.99807272468096
16,0.0625,0.0205540868759367,1.5791245482057827,0.25134061947228764,1.648177227334765,29.508210689861215
32,0.03125,0.006050565105284593,1.7642834836462375,0.0807659261220533,1.637825169788152,56.69949704260685
64,0.015625,0.0016608936031466625,1.8651102350168691,0.027043773011114765,1.5784503276986006,112.93520066118748
128,0.0078125,0.0004361471207585005,1.929072886390011,0.009296893523523222,1.5404758054165448,225.32477686363214
